From,Status,Price,Date Created
+918427797399,Completed,-0.02,2026-06-19T06:21:38.000Z
+918146726626,Failed,0.0,2026-06-19T06:20:34.000Z
+61879478573,Completed,-0.0992,2026-06-19T06:19:15.000Z
+61879478573,Busy,,2026-06-19T06:19:15.000Z
+61879478573,No Answer,,2026-06-19T06:19:15.000Z
+61450470226,Completed,-0.01,2026-06-19T06:15:49.000Z
+61423640315,Completed,0.0,2026-06-19T06:15:33.000Z
+61450470226,Completed,-0.01,2026-06-19T06:15:17.000Z
+61423693998,Completed,-0.04,2026-06-19T06:00:09.000Z
+61477108486,Completed,-0.01,2026-06-19T04:57:30.000Z
+61414727843,Completed,-0.04,2026-06-19T04:24:12.000Z
+61418409401,Completed,-0.03,2026-06-19T04:11:07.000Z
+61876660507,Completed,-0.126,2026-06-19T02:44:27.000Z
+61437597940,Completed,-0.07,2026-06-19T02:42:58.000Z
+61876660507,Completed,-0.0252,2026-06-19T02:41:02.000Z
+61897463500,Completed,-0.02,2026-06-19T02:39:47.000Z
+61876660507,Completed,-0.1764,2026-06-19T02:35:51.000Z
+64220781181,Completed,-0.1,2026-06-19T02:32:11.000Z
+61423056521,Completed,-0.03,2026-06-19T02:22:53.000Z
+61421608837,Completed,-0.03,2026-06-19T01:59:04.000Z
+61875628058,Completed,-0.0252,2026-06-19T01:57:00.000Z
+61876660507,Completed,-0.1008,2026-06-19T00:47:10.000Z
+61734268315,Completed,-0.06,2026-06-19T00:45:09.000Z
+61878133502,Completed,-0.0252,2026-06-19T00:22:33.000Z
+61416501592,Completed,-0.03,2026-06-19T00:21:06.000Z
+61416501592,Completed,-0.01,2026-06-19T00:18:42.000Z
+61734268315,Completed,-0.01,2026-06-19T00:17:52.000Z
+61416501592,Completed,-0.01,2026-06-18T23:54:28.000Z
+61416501592,Completed,-0.01,2026-06-18T23:53:28.000Z
+61734268315,Completed,-0.01,2026-06-18T23:43:42.000Z
+919518002533,Failed,0.0,2026-06-18T11:59:48.000Z
+61879478573,Completed,-0.0992,2026-06-18T11:58:34.000Z
+919518002533,Failed,0.0,2026-06-18T11:53:02.000Z
+61879478573,Completed,-0.0992,2026-06-18T11:51:42.000Z
+919518002533,Failed,0.0,2026-06-18T11:40:17.000Z
+61879478573,Completed,-0.0992,2026-06-18T11:38:56.000Z
+919518002533,Failed,0.0,2026-06-18T11:35:03.000Z
+61879478573,Completed,-0.0992,2026-06-18T11:33:33.000Z
+61879478573,No Answer,,2026-06-18T11:33:32.000Z
+61879478573,Busy,,2026-06-18T10:20:05.000Z
+61879478573,No Answer,,2026-06-18T10:13:31.000Z
+918427797399,Completed,-0.02,2026-06-18T10:12:20.000Z
+61879478573,Busy,,2026-06-18T10:10:06.000Z
+918427797399,Completed,-0.02,2026-06-18T10:07:47.000Z
+61879478573,Busy,,2026-06-18T10:03:27.000Z
+61879478573,No Answer,,2026-06-18T10:03:27.000Z
+61427648800,Completed,-0.01,2026-06-18T09:15:11.000Z
+61450521551,Completed,-0.01,2026-06-18T09:05:36.000Z
+61893978000,Completed,-0.06,2026-06-18T07:40:01.000Z
+61487001677,Completed,-0.01,2026-06-18T07:39:26.000Z
+61421109747,Completed,-0.01,2026-06-18T07:20:23.000Z
+918427797399,Completed,-0.01,2026-06-18T07:01:48.000Z
+918427797399,Completed,-0.01,2026-06-18T07:00:11.000Z
+61879478573,Completed,-0.0496,2026-06-18T06:50:06.000Z
+61879478573,No Answer,,2026-06-18T06:50:06.000Z
+918427797399,Completed,-0.01,2026-06-18T06:33:28.000Z
+61879478573,No Answer,,2026-06-18T06:32:00.000Z
+61879478573,Busy,,2026-06-18T06:32:00.000Z
+61449991788,Completed,-0.01,2026-06-18T06:19:11.000Z
+61447499161,Completed,-0.01,2026-06-18T05:57:36.000Z
+61418761611,Completed,-0.01,2026-06-18T05:41:40.000Z
+61878133502,Completed,-0.0756,2026-06-18T05:39:36.000Z
+61436440642,Completed,-0.05,2026-06-18T05:36:43.000Z
+61876660507,Completed,-0.0504,2026-06-18T05:27:46.000Z
+61418476733,Completed,-0.04,2026-06-18T05:26:02.000Z
+61483894379,Completed,-0.01,2026-06-18T05:10:53.000Z
+61488136999,Completed,0.0,2026-06-18T04:54:57.000Z
+61417910584,No Answer,,2026-06-18T04:51:57.000Z
+61428933551,Completed,-0.01,2026-06-18T04:48:56.000Z
+61876660507,Completed,-0.0504,2026-06-18T04:21:32.000Z
+61754913555,Completed,-0.04,2026-06-18T04:20:11.000Z
+61432986818,Completed,-0.01,2026-06-18T04:20:03.000Z
+61415490638,Completed,-0.01,2026-06-18T04:18:16.000Z
+61876660507,Completed,-0.0504,2026-06-18T04:02:55.000Z
+61754913555,Completed,-0.04,2026-06-18T04:01:16.000Z
+61401202478,Completed,-0.01,2026-06-18T04:00:24.000Z
+61403847700,Completed,-0.01,2026-06-18T03:56:10.000Z
+61499999067,Completed,-0.01,2026-06-18T03:55:08.000Z
+61409083059,Completed,-0.01,2026-06-18T03:50:18.000Z
+61475858798,Completed,-0.01,2026-06-18T03:46:53.000Z
+61409572773,No Answer,,2026-06-18T03:41:06.000Z
+61451248101,Completed,-0.01,2026-06-18T03:31:12.000Z
+61401594143,Completed,-0.01,2026-06-18T03:26:39.000Z
+61876660527,Completed,-0.075,2026-06-18T03:25:23.000Z
+61876660527,Completed,-0.15,2026-06-18T03:25:23.000Z
+61876660527,Completed,-0.15,2026-06-18T03:25:23.000Z
+61876660527,Completed,-0.15,2026-06-18T03:25:23.000Z
+61876660527,Completed,-0.075,2026-06-18T03:25:23.000Z
+61876660527,Completed,-0.15,2026-06-18T03:24:13.000Z
+61416161474,Completed,-0.01,2026-06-18T03:24:49.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:12.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:14.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:14.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:14.000Z
+61876660527,Completed,-0.15,2026-06-18T03:24:11.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:12.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:13.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:12.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:12.000Z
+61876660527,Completed,-0.075,2026-06-18T03:24:11.000Z
+61876660527,Failed,0.0,2026-06-18T03:24:13.000Z
+61876660527,Completed,-0.15,2026-06-18T03:23:23.000Z
+61876660527,Completed,-0.15,2026-06-18T03:23:20.000Z
+61876660527,Completed,-0.15,2026-06-18T03:23:21.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:18.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:22.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:15.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:19.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:16.000Z
+61876660527,Completed,-0.15,2026-06-18T03:23:17.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:24.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:20.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:19.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:16.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:18.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:18.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:17.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:18.000Z
+61876660527,Completed,-0.075,2026-06-18T03:23:13.000Z
