From,Status,Price,Date Created
+61879478573,Completed,-0.081,2026-04-17T07:00:01.000Z
+61879478573,Failed,0.0,2026-04-17T07:00:01.000Z
+61879478573,Failed,0.0,2026-04-17T07:00:01.000Z
+61879478573,Failed,0.0,2026-04-17T07:00:01.000Z
+61879478573,Failed,0.0,2026-04-17T06:47:30.000Z
+61879478573,Failed,0.0,2026-04-17T06:47:30.000Z
+61879478573,Busy,,2026-04-17T06:47:30.000Z
+61879478573,Failed,0.0,2026-04-17T06:47:30.000Z
+61879478573,Completed,-0.0405,2026-04-17T06:44:58.000Z
+61879478573,Failed,0.0,2026-04-17T06:44:58.000Z
+61879478573,Failed,0.0,2026-04-17T06:44:58.000Z
+61879478573,Failed,0.0,2026-04-17T06:21:18.000Z
+61879478573,Failed,0.0,2026-04-17T06:21:17.000Z
+61879478573,Busy,,2026-04-17T06:21:17.000Z
+61879478573,Failed,0.0,2026-04-17T06:21:17.000Z
+61420941404,Completed,-0.04,2026-04-17T06:18:01.000Z
+61879478573,Failed,0.0,2026-04-17T06:17:07.000Z
+61879478573,Failed,0.0,2026-04-17T06:17:07.000Z
+61879478573,Failed,0.0,2026-04-17T06:17:07.000Z
+61879478573,No Answer,,2026-04-17T06:17:07.000Z
+61879478573,Failed,0.0,2026-04-17T06:03:14.000Z
+61879478573,Failed,0.0,2026-04-17T06:03:13.000Z
+61879478573,Busy,,2026-04-17T06:03:13.000Z
+61879478573,Failed,0.0,2026-04-17T06:03:13.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:08.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:08.000Z
+61879478573,No Answer,,2026-04-17T06:02:08.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:07.000Z
+61879478573,No Answer,,2026-04-17T06:02:07.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:07.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:06.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:06.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:06.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:04.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:04.000Z
+61879478573,Failed,0.0,2026-04-17T06:02:04.000Z
+61879478573,Busy,,2026-04-17T06:01:39.000Z
